legacy_action_id,label,category,migration_status,python_target,migration_note
volume-bolus,Administer volume bolus,intervention,READY_EXISTING_MECHANISM,neopatient.UnifiedNeonatalPatient.add_intravascular_input,"Real intravascular-volume mechanism exists; scenario must call volume mechanism, not patch MAP/CVP."
increase-rpm,Increase pump RPM,ecmo-control,READY_EXISTING_CONTROL,neoecmo.EcmoConsoleControls.rpm via DynamicCoupledVaEcmoPatient.set_controls,RPM is already an authoritative learner control; flow remains an outcome.
increase-sweep,Increase sweep gas,ecmo-control,READY_EXISTING_CONTROL,neoecmo.EcmoConsoleControls.sweep_gas_flow_ml_min,Sweep is already an authoritative learner control.
assess-hemodynamics,Assess hemodynamic pattern,assessment,READY_OBSERVATION_FROM_STATE,UnifiedPatientSnapshot + coupled ECMO displayed state,"Core MAP/CVP/flow/pressure state exists; needs observation/action presentation, not new physiology."
order-echo,Order bedside echocardiography,diagnostic,ORCHESTRATION_DIAGNOSTIC,future diagnostic order/result mechanism,Preserve as information action; no echo imaging mechanism required in Phase 1b.
pericardial-decompression,Initiate pericardial decompression,procedure,MISSING_MECHANISM,future typed mechanism/action port,Preserve clinical action and outcome semantics; do not emulate with numeric patches.
turn-patient,Turn / reposition patient for care,patient-care,MISSING_MECHANISM,future patient/cannula position mechanism,No authoritative patient-position/cannula-relationship state exists.
restore-prior-position,Return patient to documented pre-event position and reassess circuit,patient-care,MISSING_MECHANISM,future patient/cannula position mechanism,No authoritative position mechanism exists.
inspect-drainage-cannula,Inspect drainage cannula and tubing path,assessment,PARTIAL_BACKEND,current cannula/hydraulic state + future inspection observation,Cannula hydraulics exist; positional/kink fault state and inspect action are not exposed.
relieve-cannula-kink,Relieve external cannula / tubing kink,procedure,MISSING_MECHANISM,future typed mechanism/action port,Preserve clinical action and outcome semantics; do not emulate with numeric patches.
inspect-circuit-path,Inspect circuit for mechanical obstruction,assessment,PARTIAL_BACKEND,current circuit hydraulic state + future component fault state,Hydraulics exist; generalized obstruction/fault inspection layer is missing.
relieve-circuit-obstruction,Correct accessible circuit obstruction,procedure,MISSING_MECHANISM,future typed mechanism/action port,Preserve clinical action and outcome semantics; do not emulate with numeric patches.
prepare-component-exchange,Prepare / initiate indicated circuit component exchange,procedure,MISSING_MECHANISM,future typed mechanism/action port,Preserve clinical action and outcome semantics; do not emulate with numeric patches.
assess-pump-function,"Assess pump power, speed, alarms, and actual output",assessment,READY_OBSERVATION_FROM_STATE,EcmoConsoleControls + EcmoConsoleState.circuit,Pump speed and hydraulic output are available; alarm/power semantics remain partial.
restore-pump-support,Restore pump function / transition to backup support,emergency-procedure,MISSING_MECHANISM,future typed mechanism/action port,Preserve clinical action and outcome semantics; do not emulate with numeric patches.
assess-rhythm,Assess cardiac rhythm,assessment,MISSING_MECHANISM,future rhythm/electrophysiology state,No authoritative rhythm/arrest model exists.
defibrillate,Defibrillate (unsynchronized shock),emergency-procedure,MISSING_MECHANISM,future typed mechanism/action port,Preserve clinical action and outcome semantics; do not emulate with numeric patches.
synchronized-cardioversion,Synchronized cardioversion,emergency-procedure,MISSING_MECHANISM,future typed mechanism/action port,Preserve clinical action and outcome semantics; do not emulate with numeric patches.
administer-arrest-epinephrine,Administer arrest-dose epinephrine,emergency-procedure,MISSING_MECHANISM,future typed mechanism/action port,Preserve clinical action and outcome semantics; do not emulate with numeric patches.
begin-chest-compressions,Begin chest compressions,emergency-procedure,MISSING_MECHANISM,future typed mechanism/action port,Preserve clinical action and outcome semantics; do not emulate with numeric patches.
inspect-for-air,Inspect circuit for air source / entrainment,assessment,MISSING_MECHANISM,future typed mechanism/action port,Preserve intent; no verified authoritative Python mechanism currently backs this action.
isolate-air-source,Stop air entrainment / secure source,emergency-procedure,MISSING_MECHANISM,future typed mechanism/action port,Preserve clinical action and outcome semantics; do not emulate with numeric patches.
manage-air-emergency,Initiate circuit air-emergency response,emergency-procedure,MISSING_MECHANISM,future typed mechanism/action port,Preserve clinical action and outcome semantics; do not emulate with numeric patches.
control-circuit-breach,Clamp / control circuit breach and blood loss,emergency-procedure,PARTIAL_BACKEND,neopatient.record_blood_loss + future circuit-integrity/clamp fault,Blood loss mechanism exists; actual circuit breach/clamp-integrity mechanism is missing.
restore-circuit-integrity,Restore circuit integrity / exchange damaged segment,emergency-procedure,MISSING_MECHANISM,future typed mechanism/action port,Preserve clinical action and outcome semantics; do not emulate with numeric patches.
assess-oxygenator,Assess oxygenator performance and pressure gradient,assessment,READY_OBSERVATION_FROM_STATE,EcmoConsoleState pressure/gas fields + oxygenator model,Pressure gradient and gas-transfer state exist; thrombosis/failure severity mechanism is not yet scenario-addressable.
exchange-oxygenator,Initiate oxygenator / circuit component exchange,emergency-procedure,MISSING_MECHANISM,future typed mechanism/action port,Preserve clinical action and outcome semantics; do not emulate with numeric patches.
verify-sweep-gas,"Verify sweep gas connection, source, flow, and blender",assessment,READY_OBSERVATION_FROM_STATE,EcmoConsoleControls sweep/FdO2,Current settings are inspectable; gas-source failure state is missing.
