legacy_id,canonical_python_id
lf-01-preload,lowflow-hypovolemia
lf-02-tamponade,lowflow-postoperative-tamponade
lf-03-position,lowflow-position-sensitive-drainage
lf-04-kink,lowflow-drainage-kink
lf-05-circuit-obstruction,lowflow-circuit-obstruction
lf-06-pump-failure,lowflow-pump-failure
ce-01-air-emergency,circuit-air-emergency
ce-02-circuit-breach,circuit-breach-hemorrhage
ce-03-oxygenator,circuit-oxygenator-failure
ce-04-sweep-gas,circuit-sweep-gas-failure
ce-05-hemolysis,circuit-hemolysis
ce-06-major-bleeding,circuit-major-bleeding
va-01-differential-hypoxemia,va-differential-hypoxemia
va-02-lv-distension,va-lv-distension
va-03-limb-ischemia,va-limb-ischemia
va-04-thrombosis,va-thrombosis
vv-01-recirculation,vv-recirculation
vv-02-oxygenator,vv-oxygenator-failure
vv-03-gas-exchange,vv-gas-exchange-failure
vv-04-pneumothorax,vv-pneumothorax
vv-04-airway,vv-airway-ventilator-failure
pe-01-arrhythmia-arrest,patient-arrhythmia-arrest
pe-02-ich,patient-intracranial-hemorrhage
pe-03-vasoplegia,patient-vasoplegia
pe-03-sepsis,patient-sepsis
pe-04-aki-fluid,patient-aki-fluid-overload
pe-05-metabolic,patient-metabolic-electrolyte-emergency
pe-06-ph-crisis,patient-pulmonary-hypertensive-crisis
