legacy_complication_id,label,migration_status,python_target,migration_note,timing_status
hypovolemia,Preload limitation / hypovolemia,SUPPORTED_CORE_MECHANISM,neopatient volume ledger + preload-limited VA coupling,"Core volume/preload behavior exists; scenario activation should manipulate volume/preload state, not MAP.",
postoperative-tamponade,Postoperative cardiac tamponade,MECHANISM_NOT_IMPLEMENTED,future typed pathology/fault mechanism,Keep as migration backlog and Clinical Behavior Contract candidate; do not fake with legacy numeric patches.,
position-sensitive-cannula,Position-sensitive cannula drainage compromise,MECHANISM_NOT_IMPLEMENTED,future typed pathology/fault mechanism,Keep as migration backlog and Clinical Behavior Contract candidate; do not fake with legacy numeric patches.,
drainage-cannula-kink,Drainage cannula / tubing kink,PARTIAL,cannula hydraulics + future kink severity fault,Hydraulic base exists; scenario-addressable kink state missing.,
mechanical-circuit-obstruction,Mechanical circuit obstruction,PARTIAL,hydraulic component resistance/obstruction concepts exist,Need typed fault injection rather than direct parameter mutation from scenario definitions.,
pump-support-failure,Pump failure / loss of pump support,PARTIAL,RPM/pump curve supports loss of pump output,Need explicit fault/interlock/backup-support state machine.,
air-emergency,Air entrainment / circuit air emergency,MECHANISM_NOT_IMPLEMENTED,future typed pathology/fault mechanism,Keep as migration backlog and Clinical Behavior Contract candidate; do not fake with legacy numeric patches.,placeholder-until-validated
circuit-breach-hemorrhage,Circuit breach / disconnection with major blood loss,PARTIAL,record_blood_loss + future circuit integrity fault,Patient blood loss exists; breach/disconnection state missing.,placeholder-until-validated
oxygenator-thrombosis-failure,Oxygenator thrombosis / membrane-lung failure,PARTIAL,oxygenator obstruction/gas-transfer parameters exist,"Component physics exists, but no scenario-owned fault interface/state yet.",placeholder-until-validated
sweep-gas-failure,Sweep gas / gas-source failure,PARTIAL,sweep/FdO2 controls + gas exchange,"Gas consequence can be modeled by settings, but an explicit hidden gas-source fault is missing.",placeholder-until-validated
hemolysis,Clinically significant hemolysis,MECHANISM_NOT_IMPLEMENTED,future typed pathology/fault mechanism,Keep as migration backlog and Clinical Behavior Contract candidate; do not fake with legacy numeric patches.,placeholder-until-validated
major-bleeding,Major bleeding / coagulopathic hemorrhage,PARTIAL,record_blood_loss + volume replacement,Hemorrhage volume loss exists; coagulopathy/hemostasis not modeled.,placeholder-until-validated
intracranial-hemorrhage,Intracranial hemorrhage,MECHANISM_NOT_IMPLEMENTED,future typed pathology/fault mechanism,Keep as migration backlog and Clinical Behavior Contract candidate; do not fake with legacy numeric patches.,placeholder-until-validated
thromboembolism-stroke,Thromboembolism / ischemic stroke,MECHANISM_NOT_IMPLEMENTED,future typed pathology/fault mechanism,Keep as migration backlog and Clinical Behavior Contract candidate; do not fake with legacy numeric patches.,placeholder-until-validated
circuit-systemic-thrombosis,Circuit / cannula / intracardiac thrombosis,MECHANISM_NOT_IMPLEMENTED,future typed pathology/fault mechanism,Keep as migration backlog and Clinical Behavior Contract candidate; do not fake with legacy numeric patches.,placeholder-until-validated
anticoagulation-management,Clinically significant anticoagulation imbalance,MECHANISM_NOT_IMPLEMENTED,future typed pathology/fault mechanism,Keep as migration backlog and Clinical Behavior Contract candidate; do not fake with legacy numeric patches.,placeholder-until-validated
vv-recirculation,VV ECMO recirculation / ineffective support,MECHANISM_NOT_IMPLEMENTED,future typed pathology/fault mechanism,Keep as migration backlog and Clinical Behavior Contract candidate; do not fake with legacy numeric patches.,placeholder-until-validated
va-differential-hypoxemia,VA differential hypoxemia / North-South syndrome,MECHANISM_NOT_IMPLEMENTED,future typed pathology/fault mechanism,Keep as migration backlog and Clinical Behavior Contract candidate; do not fake with legacy numeric patches.,placeholder-until-validated
va-lv-distension,VA ECMO LV distension / inadequate unloading,MECHANISM_NOT_IMPLEMENTED,future typed pathology/fault mechanism,Keep as migration backlog and Clinical Behavior Contract candidate; do not fake with legacy numeric patches.,placeholder-until-validated
limb-ischemia,Peripheral cannulation limb ischemia,MECHANISM_NOT_IMPLEMENTED,future typed pathology/fault mechanism,Keep as migration backlog and Clinical Behavior Contract candidate; do not fake with legacy numeric patches.,placeholder-until-validated
pneumothorax-intrathoracic-pressure,Pneumothorax / tension physiology impairing support,MECHANISM_NOT_IMPLEMENTED,future typed pathology/fault mechanism,Keep as migration backlog and Clinical Behavior Contract candidate; do not fake with legacy numeric patches.,placeholder-until-validated
