node_id,test_file,status,verification_scope,evidence
tests/test_baseline.py::test_total_blood_volume_matches_reference_patient,tests/test_baseline.py,PASS,prior continuation direct/bounded verification,carried-forward: START_HERE_PHASE6_HANDOFF_2026-08-11.md explicit direct/bounded zero-exit result
tests/test_baseline.py::test_closed_loop_conserves_volume,tests/test_baseline.py,PASS,prior continuation direct/bounded verification,carried-forward: START_HERE_PHASE6_HANDOFF_2026-08-11.md explicit direct/bounded zero-exit result
tests/test_baseline.py::test_no_compartment_becomes_nonphysical,tests/test_baseline.py,PASS,prior continuation direct/bounded verification,carried-forward: START_HERE_PHASE6_HANDOFF_2026-08-11.md explicit direct/bounded zero-exit result
tests/test_baseline.py::test_baseline_produces_pulsatile_forward_flow,tests/test_baseline.py,PASS,prior continuation direct/bounded verification,carried-forward: START_HERE_PHASE6_HANDOFF_2026-08-11.md explicit direct/bounded zero-exit result
tests/test_baseline.py::test_calibrated_baseline_is_within_reference_tolerances,tests/test_baseline.py,PASS,prior continuation direct/bounded verification,carried-forward: START_HERE_PHASE6_HANDOFF_2026-08-11.md explicit direct/bounded zero-exit result
tests/test_baseline.py::test_monitor_adapter_is_read_only_and_display_neutral,tests/test_baseline.py,PASS,prior continuation direct/bounded verification,carried-forward: START_HERE_PHASE6_HANDOFF_2026-08-11.md explicit direct/bounded zero-exit result
tests/test_baseline.py::test_rolling_telemetry_uses_completed_seconds_and_fixed_window,tests/test_baseline.py,PASS,prior continuation direct/bounded verification,carried-forward: START_HERE_PHASE6_HANDOFF_2026-08-11.md explicit direct/bounded zero-exit result
tests/test_baseline.py::test_rolling_telemetry_preserves_raw_waveform_samples,tests/test_baseline.py,PASS,prior continuation direct/bounded verification,carried-forward: START_HERE_PHASE6_HANDOFF_2026-08-11.md explicit direct/bounded zero-exit result
tests/test_baseline.py::test_parameter_registry_distinguishes_targets_from_calibration,tests/test_baseline.py,PASS,prior continuation direct/bounded verification,carried-forward: START_HERE_PHASE6_HANDOFF_2026-08-11.md explicit direct/bounded zero-exit result
tests/test_baseline.py::test_modified_patient_is_a_fresh_independent_model,tests/test_baseline.py,PASS,prior continuation direct/bounded verification,carried-forward: START_HERE_PHASE6_HANDOFF_2026-08-11.md explicit direct/bounded zero-exit result
tests/test_baseline.py::test_volume_and_resistance_perturbations_move_in_expected_direction,tests/test_baseline.py,PASS,prior continuation direct/bounded verification,carried-forward: START_HERE_PHASE6_HANDOFF_2026-08-11.md explicit direct/bounded zero-exit result
